name,type,abv,brewery,address,city,state,website
Anti-Hero IPA,IPA,6.7,Revolution Brewing,2323 N Milwaukee Ave,Chicago,IL,https://revbrew.com
Fist City,Pale Ale,5.5,Revolution Brewing,2323 N Milwaukee Ave,Chicago,IL,https://revbrew.com
Rev Pils,Pilsner,5.5,Revolution Brewing,2323 N Milwaukee Ave,Chicago,IL,https://revbrew.com
Freedom of Speech,Session IPA,4.5,Revolution Brewing,2323 N Milwaukee Ave,Chicago,IL,https://revbrew.com
Cross of Gold,Golden Ale,5.0,Revolution Brewing,2323 N Milwaukee Ave,Chicago,IL,https://revbrew.com
Goose IPA,IPA,5.9,Goose Island Beer Co,1800 W Fulton St,Chicago,IL,https://www.gooseisland.com
312 Urban Wheat Ale,Wheat Ale,4.2,Goose Island Beer Co,1800 W Fulton St,Chicago,IL,https://www.gooseisland.com
Bourbon County Stout,Imperial Stout,14.7,Goose Island Beer Co,1800 W Fulton St,Chicago,IL,https://www.gooseisland.com
Matilda,Belgian Style Ale,7.0,Goose Island Beer Co,1800 W Fulton St,Chicago,IL,https://www.gooseisland.com
Sofie,Saison,6.5,Goose Island Beer Co,1800 W Fulton St,Chicago,IL,https://www.gooseisland.com
